ChngClass,IDR,IMP_AUD,IMP_BSESN,IMP_BZ,IMP_CL,IMP_CNY,IMP_EUR,IMP_FTSE,IMP_GBP,IMP_GC,IMP_HKD,IMP_HSI,IMP_IXIC,IMP_JPY,IMP_KC,IMP_KLSE,IMP_LB,IMP_N100,IMP_N225,IMP_NG,IMP_PL,IMP_SGD,IMP_SI,IMP_SS,IMP_THB,IMP_USD,MarketCap,Volume,Posts,Polarity
Positive,3487.168912,0.345461391,38024.32,69.71425,61.8385,1.6442373644,0.2161676101,7230.43,0.1844160385,1295.6925,1.9221547432,29012.26,7630.91,27.315234612,93.77625,1680.54,357.8875,1045.47,21450.85,2.674875,876.37,0.3312985164,15.12875,3021.75,7.7616052022,0.2448835276,644,634784,0,0
Positive,3485.1105313,0.3447732338,38024.32,66.99,58.39,1.6408235829,0.2157038784,7228.28,0.1837422645,1302.3,1.9186418944,29012.26,7688.53,27.242662101,94.05,1680.54,389.8,1047.25,21450.85,2.791,831.5,0.3324960857,15.29,3021.75,7.745276566,0.2444070493,644,634784,20210,0
Positive,3485.1152393,0.3448516238,38102.34,66.99,58.39,1.6408053135,0.2156610896,7308.9054545,0.1837880342,1302.3,1.9185113973,29391.804697,7780.3812121,27.237584571,94.05,1656.5266667,389.8,1050.4521212,21673.142727,2.791,831.5,0.3334719362,15.22,3124.709697,7.7452688257,0.2444045592,644,634784,20210,0
Negative,3486.3316445,0.3443829079,38102.34,67.41,58.65,1.6442388938,0.2161086912,7308.9054545,0.1843515294,1306,1.9228102909,29391.804697,7780.3812121,27.325837916,97.4,1656.5266667,389.8,1050.4521212,21673.142727,2.816,839.6,0.3311432248,15.41,3124.709697,7.7540893049,0.2449564314,632,138875,20224,0
Negative,3487.1066981,0.3450417706,38363.47,67.93,59.38,1.6464202463,0.2162456125,7328.35,0.1848363667,1307.9,1.9246274372,29466.279,7744.08,27.289047331,97.1,1687.68,393.5,1052.81,21566.85,2.886,848.5,0.3312593758,15.38,3090.98,7.7625828971,0.2451864113,607,78498,20241,0
Positive,3493.995412,0.3473279823,38386.75,67.32,58.43,1.6476683284,0.2168413356,7333.34,0.1866166454,1307.9,1.9322983008,29320.971,7723.95,27.434008489,95.25,1684.21,386.4,1049.95,21608.92,2.832,857.2,0.33238491,15.29,3090.64,7.8157401214,0.246144549,619,103073,20250,0
Negative,3493.6439591,0.347305734,38102.34,68.24,59.92,1.6546031998,0.2173633159,7308.9054545,0.1888930934,1317.9,1.9383345034,29391.804697,7780.3812121,27.38547475,95.15,1656.5266667,384.7,1050.4521212,21673.142727,2.804,875.1,0.3332808502,15.56,3124.709697,7.8365005238,0.2469930719,607,147308,20267,0
Negative,3484.0864606,0.3460778966,38164.61,66.96,59.21,1.6489598491,0.2175357139,7257.72,0.1857419854,1311.6,1.9259619039,29113.359,7838.96,26.947624935,94.25,1666.66,379.1,1034.25,21627.34,2.781,855.5,0.331828408,15.44,3104.15,7.7916008156,0.2454240635,594,84693,20276,0
Negative,3484.7194093,0.3472454249,38164.61,66.92,58.97,1.6526428489,0.2175516341,7207.59,0.1861744312,1313.4,1.9306160023,29113.359,7642.67,27.040612133,94,1666.66,369,1026.78,21627.34,2.753,848.2,0.3327232387,15.44,3104.15,7.8173336148,0.2460163968,594,84693,20278,0
Negative,3484.7364266,0.3473202501,38164.61,66.92,58.97,1.6525870224,0.2176083729,7207.59,0.1862006678,1313.4,1.9305873648,29113.359,7642.67,27.041637969,94,1666.66,369,1026.78,21627.34,2.753,848.2,0.3358858865,15.41,3104.15,7.8173548318,0.2460163604,594,84693,20279,0
Negative,3486.1803792,0.3455522497,37808.91,66.77,58.79,1.6493802156,0.2170987867,7164.24,0.1860642113,1319.2,1.9290940607,28523.35,7642.67,27.061409434,93.2,1649.15,369,1022.57,20977.11,2.716,851.4,0.3318423982,15.56,3043.03,7.7582504004,0.2458452469,581,73526,20286,0
Negative,3478.8765994,0.3433882321,38102.34,69.71425,61.8385,1.6467139599,0.2173575117,7308.9054545,0.1855511208,1295.6925,1.9246176736,29391.804697,7780.3812121,27.09569383,93.77625,1656.5266667,357.8875,1050.4521212,21673.142727,2.674875,876.37,0.3313591284,15.12875,3124.709697,7.7567000793,0.2452000722,581,65494,20290,0
Negative,3483.4819221,0.3465852818,38102.34,68.13,59.87,1.6492909799,0.2178704742,7308.9054545,0.1856499127,1314,1.9243901881,29391.804697,7780.3812121,27.057576806,95.8,1656.5266667,368.9,1050.4521212,21673.142727,2.708,864.7,0.3324847211,15.38,3124.709697,7.8147099195,0.245161819,581,92721,20311,0
Negative,3493.7758131,0.3465666687,38545.72,66.87,58.61,1.6526787549,0.2182829754,7223.48,0.187341228,1299.9,1.9253054633,28775.21,7643.38,27.115869622,93.2,1641.33,365,1033.34,21033.76,2.739,851.5,0.3326380469,15.15,2994.94,7.8134290213,0.2452513908,573,79744,20326,0
Positive,3491.1512642,0.3451187327,38672.91,68.68,60.47,1.6450745242,0.2182483584,7263.12,0.1880274098,1302.2,1.9237683051,29051.36,7669.17,27.129625446,95.3,1643.63,370,1039.58,21205.81,2.7,858.1,0.331964972,15.11,3090.76,7.7745768871,0.2450680131,590,89856,20337,0
Positive,3487.8240592,0.3451212882,38102.34,68.38,60.18,1.6437109375,0.2183033367,7308.9054545,0.1877539149,1290.8,1.9225011732,29391.804697,7780.3812121,27.152374555,94.4,1656.5266667,360.3,1050.4521212,21673.142727,2.673,846.9,0.3320104209,15.1,3124.709697,7.7678556554,0.2449240716,590,89856,20342,0
Positive,3487.8528056,0.3451506184,38102.34,68.38,60.18,1.6437382563,0.2183198245,7308.9054545,0.1877944972,1297,1.9225594984,29391.804697,7780.3812121,27.152970323,94.4,1656.5266667,360.3,1050.4521212,21673.142727,2.673,846.9,0.3341432774,15.1,3124.709697,7.7679152024,0.2449259399,590,89856,20342,0
Positive,3478.52316,0.3442219121,38102.34,68.48,60.18,1.6441828183,0.2184956848,7308.9054545,0.1864681922,1290.8,1.9229283899,29391.804697,7780.3812121,27.265633076,94.4,1656.5266667,360.3,1050.4521212,21673.142727,2.69,857.4,0.3318684273,15.15,3124.709697,7.7686474603,0.2449726737,623,261285,20362,0
Negative,3483.4324583,0.345136471,39056.65,68.84,61.83,1.6444778175,0.2183629762,7392.84,0.1865772046,1293.7,1.9236767048,29624.67,7828.91,27.316798102,92.25,1632.83,365,1057.55,21505.31,2.713,855,0.3318087746,14.94,3176.82,7.7790315108,0.2450653029,619,92259,20378,0
Positive,3483.4324583,0.345136471,38877.12,69.65,62.64,1.6444778175,0.2183629762,7407.36,0.1865772046,1296.8,1.9236767048,29986.39,7848.69,27.316798102,93.45,1643.21,355,1063.42,21713.21,2.667,870.5,0.3318087746,15.06,3216.3,7.7790315108,0.2450653029,628,180311,20386,0
Negative,3470.2995875,0.3444963099,38684.72,69.63,62.53,1.6461539233,0.2184312387,7390.06,0.1874313442,1287.8,1.9234130112,29936.32,7895.55,27.337265308,96,1645.07,364.7,1064.33,21724.95,2.67,891.9,0.3319284789,14.94,3246.57,7.7924339798,0.2450412874,623,47938,20395,0
Positive,3456.2595126,0.3444770602,38102.34,69.24,62.17,1.6426354698,0.2179668854,7308.9054545,0.187927426,1290.2,1.9193541999,29391.804697,7780.3812121,27.31496721,93.7,1656.5266667,360,1050.4521212,21673.142727,2.644,909,0.3314049097,15.07,3124.709697,7.8023824754,0.2445090407,628,47935,20403,0
Positive,3453.6513258,0.3440881693,38102.34,70.43,63.26,1.6427019325,0.2179378583,7308.9054545,0.1875432169,1291.2,1.9193128906,29391.804697,7780.3812121,27.31962719,93.6,1656.5266667,351.8,1050.4521212,21673.142727,2.679,905.1,0.3313649597,15.08,3124.709697,7.7991415523,0.2445143399,628,47935,20407,0
Positive,3461.2140733,0.344252994,38102.34,70.43,63.26,1.6428898402,0.21774136,7308.9054545,0.1877406881,1291.2,1.9191610602,29391.804697,7780.3812121,27.314396624,93.6,1656.5266667,351.8,1050.4521212,21673.142727,2.679,905.1,0.3312906255,15.08,3124.709697,7.7992421676,0.2445286739,628,47935,20408,0
Positive,3452.41569,0.3424067751,38102.34,70.6,63.26,1.6380143829,0.2165785914,7308.9054545,0.1870036891,1307,1.9134814614,29391.804697,7780.3812121,27.189902333,93.25,1656.5266667,351.8,1050.4521212,21673.142727,2.697,919.3,0.3304136151,15.27,3124.709697,7.7845409945,0.2438991722,678,527438,20456,0
Positive,3449.5390596,0.3420563207,38939.22,70.65,64.15,1.6369287155,0.2162429581,7438.61,0.1869523827,1308.4,1.9126228409,30157.49,7953.88,27.094798662,94.5,1641.94,347.2,1063.88,21802.59,2.702,901.9,0.3300574825,15.27,3239.66,7.7456017253,0.2438799022,715,586436,20470,0
